OBJECTID,COUNTY,CITY,SHAPE_Length,SHAPE_Area
40,San Bernardino County,Big Bear Lake,56912.6458594081,24469817.079568
41,Butte County,Biggs,17791.8748536463,4415191.19791457
42,Inyo County,Bishop,20428.5380758058,7728596.08206808
43,Humboldt County,Blue Lake,12023.8217792458,2934186.88653278
44,Riverside County,Blythe,121244.180629283,102165457.801849
45,Los Angeles County,Bradbury,14376.8933578599,7454395.80193395
46,Imperial County,Brawley,35993.7271740585,29879374.1020235
47,Orange County,Brea,59625.202001502,47977559.7843329
48,Contra Costa County,Brentwood,55325.2439756084,61987968.2997964
49,San Mateo County,Brisbane,22450.4140780725,13152571.2562744
50,Santa Barbara County,Buellton,14650.7683565031,6143379.38907283
51,Orange County,Buena Park,48287.9577614465,39648128.2518448
52,Los Angeles County,Burbank,38829.2457338886,65812635.0611065
53,San Mateo County,Burlingame,33010.420614177,18464608.4011496
54,Los Angeles County,Calabasas,54936.2937922769,52154211.5853273
55,Imperial County,Calexico,29188.1891004056,31092556.7504273
56,Kern County,California,218609.209726172,789601654.11466
57,Riverside County,Calimesa,49027.0641476942,56119592.5844665
58,Imperial County,Calipatria,26908.2978082578,13738256.5806615
59,Napa County,Calistoga,18985.5531758326,10921548.2960994
60,Ventura County,Camarillo,81520.2951908527,75050619.8914428
61,Santa Clara County,Campbell,42620.3596561078,24996811.7837535
62,Riverside County,Canyon Lake,23492.5545472145,17339454.5691721
63,Santa Cruz County,Capitola,17091.9725925153,6567691.91410504
64,San Diego County,Carlsbad,64935.8391559745,144596111.36288
65,Monterey County,Carmel-by-the-Sea,11105.516176746,4202098.33130095
66,Santa Barbara County,Carpinteria,25468.8766097613,9777061.38694248
67,Los Angeles County,Carson,46866.766253954,71264508.2947848
68,Riverside County,Cathedral City,72487.3064196765,85686591.1280598
69,Stanislaus County,Ceres,49334.3774930432,39161559.9222883
70,Los Angeles County,Cerritos,44014.3655683812,33287986.0583538
71,Butte County,Chico,130736.815412569,151562403.071829
72,San Bernardino County,Chino,75986.8637805022,112340646.995539
73,San Bernardino County,Chino Hills,64207.5269191094,169189540.049461
74,Madera County,Chowchilla,54494.8842350344,47512789.1976826
75,San Diego County,Chula Vista,118858.038821636,190901052.895179
76,Sacramento County,Citrus Heights,37809.8951165618,60528266.7721358
77,Los Angeles County,Claremont,55367.9742404286,51025259.5179387
78,Contra Costa County,Clayton,21781.2751903253,15977070.0378361
79,Lake County,Clearlake,59569.8730961182,45146610.2113595
80,Sonoma County,Cloverdale,32690.4864998893,14282600.8234825
81,Fresno County,Clovis,101877.202801987,110761691.913319
82,Riverside County,Coachella,74760.0689036409,116027857.237427
83,Fresno County,Coalinga,59004.0880406976,26811711.9387877
84,Placer County,Colfax,26705.3257877499,6075101.80370391
85,San Mateo County,Colma,14698.2424260136,7925909.13172307
86,San Bernardino County,Colton,87292.2978757428,61246116.0050424
87,Colusa County,Colusa,50609.5997985034,18441769.9678676
88,Los Angeles County,Commerce,34390.8879691137,24754325.7050229
89,Los Angeles County,Compton,65518.6927855252,38044773.8558198
90,Contra Costa County,Concord,73076.0765874152,127542619.25114
91,Kings County,Corcoran,54005.4932449926,29856798.9311695
92,Tehama County,Corning,43990.3094832599,16019830.637981
93,Riverside County,Corona,132672.858962031,150210657.807172
94,San Diego County,Coronado,51886.0068884308,54345809.3953197
95,Marin County,Corte Madera,23907.9210943331,13357403.3895452
96,Orange County,Costa Mesa,42868.9638558923,59406425.4382742
97,Sonoma County,Cotati,22664.1310883157,8053401.8356769
98,Los Angeles County,Covina,68641.7223040434,26633996.6473457
99,Del Norte County,Crescent City,27388.9134252771,9048952.22948011
100,Los Angeles County,Cudahy,12556.1590531255,4619382.06954687
101,Los Angeles County,Culver City,43000.4661969055,19392285.4344296
102,Santa Clara County,Cupertino,61780.8759152933,46484099.4921802
103,Orange County,Cypress,30849.6312749675,24926878.5713444
104,San Mateo County,Daly City,58710.6206329988,31478516.0368553
105,Orange County,Dana Point,35827.4281941904,23830861.0842222
106,Contra Costa County,Danville,59629.1235690736,75152225.7080296
107,Yolo County,Davis,43709.1994722436,42468095.6588967
108,San Diego County,Del Mar,15010.5964235805,6515139.54337632
109,Monterey County,Del Rey Oaks,15442.1129295558,4356069.59897245
110,Kern County,Delano,75037.2476962748,70986750.0371683
111,Riverside County,Desert Hot Springs,89434.5746781398,115054394.346039
112,Los Angeles County,Diamond Bar,40833.844720713,56266477.3530414
113,Tulare County,Dinuba,32028.6078087713,26881660.3583749
114,Solano County,Dixon,45030.4053241158,30637855.6882366
115,Siskiyou County,Dorris,10506.6321930314,3429177.58423455
116,Merced County,Dos Palos,19920.8833273286,5625365.45749566
117,Los Angeles County,Downey,33288.7508774244,47429056.5946678
118,Los Angeles County,Duarte,41215.9102049777,25349753.6971122
119,Alameda County,Dublin,47361.7392646295,63090509.2219459
120,Siskiyou County,Dunsmuir,31070.514733586,7928151.60959721
121,San Mateo County,East Palo Alto,17122.4877370478,10410499.6029522
122,Riverside County,Eastvale,44353.0973473952,49548342.7377792
123,San Diego County,El Cajon,86091.5618932763,53427330.539302
124,Imperial County,El Centro,50458.9707688242,44692713.5302548
125,Contra Costa County,El Cerrito,20427.7975847904,15326373.4956913
126,Los Angeles County,El Monte,39355.1686784543,36375789.9953409
127,Los Angeles County,El Segundo,21110.9286198465,20521837.8772879
128,Sacramento County,Elk Grove,85118.5562864481,180517970.284837
129,Alameda County,Emeryville,16656.3977147236,5211011.04681909
130,San Diego County,Encinitas,58530.9241336252,72157779.8395486
131,San Joaquin County,Escalon,31598.5758842988,9824291.65080155
132,San Diego County,Escondido,204853.484185406,138626825.440354
133,Siskiyou County,Etna,11297.0675295611,3470355.38063086
134,Humboldt County,Eureka,67001.7714719066,72595055.9957627
135,Tulare County,Exeter,21009.0824547789,9804462.40499756
136,Marin County,Fairfax,26564.2441164067,9362657.23984028
137,Solano County,Fairfield,158777.112326104,176083866.160277
138,Tulare County,Farmersville,22230.2022474505,9055876.68289522
139,Humboldt County,Ferndale,11752.2759980869,5185695.32825998
140,Ventura County,Fillmore,27109.0616793979,12609532.2076054
141,Fresno County,Firebaugh,36216.3308315062,14883593.8073658
142,Sacramento County,Folsom,60632.2373469602,127830114.647926
143,San Bernardino County,Fontana,91508.4560932009,164106764.858395
144,Mendocino County,Fort Bragg,48262.3829837732,12627184.2320049
145,Siskiyou County,Fort Jones,14024.3055854638,2873460.51457925
146,Humboldt County,Fortuna,34275.2845886346,23527746.0487974
147,San Mateo County,Foster City,21433.4102152574,17667040.1871049
148,Orange County,Fountain Valley,26310.7490131448,34015946.4538057
149,Fresno County,Fowler,29897.8110892175,10895702.233052
150,Alameda County,Fremont,144739.68982074,324812584.825993
151,Fresno County,Fresno,446004.788579974,474541337.088837
152,Orange County,Fullerton,60830.5223978193,84594681.2918879
153,Sacramento County,Galt,39583.886947356,32893313.1429557
154,Orange County,Garden Grove,75432.3157786154,67324366.3442755
155,Los Angeles County,Gardena,24272.2422232709,22071778.8542295
156,Santa Clara County,Gilroy,73181.8791398342,67380786.8757972
157,Los Angeles County,Glendale,70344.114983423,116099703.491347
158,Los Angeles County,Glendora,59818.099656411,74515935.6669282
159,Santa Barbara County,Goleta,46712.5346190398,30092887.5809094
160,Monterey County,Gonzales,26995.5091152183,7494227.76781253
161,San Bernardino County,Grand Terrace,21843.5855728697,13351326.2759345
162,Nevada County,Grass Valley,59353.7173577267,26924172.2969613
163,Monterey County,Greenfield,30212.7540521352,11964336.8132045
164,Butte County,Gridley,27396.668008634,10338677.5860981
165,San Luis Obispo County,Grover Beach,15049.743327907,9089098.46702662
166,Santa Barbara County,Guadalupe,17795.191896937,5133038.27037723
167,Merced County,Gustine,29207.3277779875,7396982.22995669
168,San Mateo County,Half Moon Bay,42077.6192256133,25260417.2254981
169,Kings County,Hanford,87190.2208168757,71957900.0217923
170,Los Angeles County,Hawaiian Gardens,9460.30318566303,3592210.60199994
171,Los Angeles County,Hawthorne,40451.0024851129,22848387.4932701
172,Alameda County,Hayward,150951.413760282,187894178.882699
173,Sonoma County,Healdsburg,41213.684130224,18638993.2843415
174,Riverside County,Hemet,87449.1250230558,109855538.299118
175,Contra Costa County,Hercules,32362.4284327027,26776475.4848065
176,Los Angeles County,Hermosa Beach,10502.1621306229,5480207.45168177
177,San Bernardino County,Hesperia,163260.152063124,277190446.415901
178,Los Angeles County,Hidden Hills,15762.6791699882,6398683.62297974
179,San Bernardino County,Highland,81842.6225892371,70780925.479537
180,San Mateo County,Hillsborough,33984.1557771035,25581608.605165
181,San Benito County,Hollister,90779.6534413623,33161394.5930544
182,Imperial County,Holtville,15518.7744562106,4277494.06609309
183,Stanislaus County,Hughson,17668.0019295706,7465751.48225118
184,Orange County,Huntington Beach,77682.2607139128,103191797.219219
185,Los Angeles County,Huntington Park,24403.7064934557,11403290.4705785
186,Fresno County,Huron,17300.2683681183,6737060.09161741
187,Imperial County,Imperial,43030.990279301,23161103.6463749
188,San Diego County,Imperial Beach,20873.7734033248,15899880.0808889
189,Riverside County,Indian Wells,37002.1169509829,54713852.1182995
190,Riverside County,Indio,88230.7276975794,128490788.401235
191,Los Angeles County,Industry,134928.064261657,45487910.3802688
192,Los Angeles County,Inglewood,33227.0320719288,34348005.9488066
193,Amador County,Ione,29141.5608860372,19503039.01308
194,Orange County,Irvine,95141.8709474421,247392167.460192
195,Los Angeles County,Irwindale,48464.2750349927,36468851.4599362
196,Sacramento County,Isleton,10250.508125536,1958407.80494925
197,Amador County,Jackson,33586.3746882284,15158811.2903135
198,Riverside County,Jurupa Valley,61940.4417976694,164989189.634046
199,Fresno County,Kerman,22574.9070540096,13607250.068038
200,Monterey County,King City,31570.3308776572,16018471.0454093
201,Fresno County,Kingsburg,30115.6139567718,15204605.2573215
202,Los Angeles County,La Cañada Flintridge,33986.2078209726,32825868.5788162
203,Orange County,La Habra,27104.1550513661,28551044.4397998
204,Los Angeles County,La Habra Heights,25722.5884731128,23239748.6358328
205,San Diego County,La Mesa,49741.6442668364,33183956.5597051
206,Los Angeles County,La Mirada,29343.4260966973,29577870.7442777
207,Orange County,La Palma,16507.2201560812,6796557.45948925
208,Los Angeles County,La Puente,31989.307848788,13139003.3621229
209,Riverside County,La Quinta,74298.0960084688,133853095.183431
210,Los Angeles County,La Verne,42566.7097089046,32259440.5372686
211,Contra Costa County,Lafayette,55400.7892705716,63277489.5379284
212,Orange County,Laguna Beach,64368.2234775194,33127349.0311942
213,Orange County,Laguna Hills,36523.154173456,24876790.6561136
214,Orange County,Laguna Niguel,44361.9787017973,55243697.8933805
215,Orange County,Laguna Woods,27894.5072825844,12378330.6246729
216,Riverside County,Lake Elsinore,113872.485083065,163060317.712273
217,Orange County,Lake Forest,39812.6586525269,62917475.2099564
218,Lake County,Lakeport,27465.1889894794,13401022.6933859
219,Los Angeles County,Lakewood,45737.8811305009,35597199.5247659
220,Los Angeles County,Lancaster,252267.89589184,362603963.614487
221,Marin County,Larkspur,30788.4322577726,13294410.2444885
222,San Joaquin County,Lathrop,67095.297755223,86683875.1099503
223,Los Angeles County,Lawndale,13589.3053823178,7442785.92002919
224,San Diego County,Lemon Grove,23570.3600968143,14361466.9436221
225,Kings County,Lemoore,40867.608636184,39176391.9030076
226,Placer County,Lincoln,65023.8099175993,102890802.624961
227,Tulare County,Lindsay,24491.6205406467,10821322.9886188
228,Sutter County,Live Oak,27348.3588793526,13472207.5992195
229,Alameda County,Livermore,105370.838936968,110338062.593665
230,Merced County,Livingston,28543.0162428143,15185189.420188
231,San Joaquin County,Lodi,63326.225185567,58687349.0916416
232,San Bernardino County,Loma Linda,28425.5352816745,33835403.5464344
233,Los Angeles County,Lomita,16512.256972362,7215011.46854975
234,Santa Barbara County,Lompoc,48713.9292735535,44899357.3838948
235,Los Angeles County,Long Beach,120240.837417357,195402328.814033
236,Placer County,Loomis,37187.1544485187,31363972.5954081
237,Orange County,Los Alamitos,25656.8434322729,15400468.7932016
238,Santa Clara County,Los Altos,42746.1571289551,26807137.9151152
239,Santa Clara County,Los Altos Hills,44256.4976013431,37227921.6444633
240,Los Angeles County,Los Angeles,597521.429890428,1783699923.26086
241,Merced County,Los Banos,57222.7910071157,43297570.401447
242,Santa Clara County,Los Gatos,93866.7143924493,47705795.5937832
243,Sierra County,Loyalton,5251.2838513792,1489333.56374941
244,Los Angeles County,Lynwood,26554.0057860007,18294364.5963204
245,Madera County,Madera,76399.8850413875,79833201.1978815
246,Los Angeles County,Malibu,92987.2420599687,74021644.7626334
247,Mono County,Mammoth Lakes,58063.2095770099,104100880.722679
248,Los Angeles County,Manhattan Beach,17593.8229163175,14918149.3035306
249,San Joaquin County,Manteca,86025.9694128753,90361471.2044727
250,Kern County,Maricopa,18475.6096379991,5975739.23143512
251,Monterey County,Marina,38378.1936421134,35639251.6394847
252,Contra Costa County,Martinez,74634.4564133163,52922963.186552
253,Yuba County,Marysville,26995.4928938696,15702406.824598
254,Los Angeles County,Maywood,11065.7983263984,4438555.65271633
255,Kern County,McFarland,37686.797395416,24986484.5398866
256,Fresno County,Mendota,34555.6002380487,13475059.9675525
257,Riverside County,Menifee,83343.3545149337,174657510.535622
258,San Mateo County,Menlo Park,70116.1581018032,41923470.9133139
259,Merced County,Merced,133704.352056058,95882450.9331708
260,Marin County,Mill Valley,35539.3121863093,20078395.4412793
261,San Mateo County,Millbrae,20229.7270235962,13468485.7387273
262,Santa Clara County,Milpitas,60848.905411651,55689453.8979663
263,Orange County,Mission Viejo,47216.1301436555,67403735.7977005
264,Stanislaus County,Modesto,200971.002395694,186738117.556262
265,Los Angeles County,Monrovia,53138.8422914968,52129415.2266899
266,Siskiyou County,Montague,16687.0025851825,8089222.730967
267,San Bernardino County,Montclair,23083.7340078538,21022008.1228419
268,Santa Clara County,Monte Sereno,25554.0159056752,6645517.21518534
269,Los Angeles County,Montebello,36554.9896208146,31602668.7975892
270,Monterey County,Monterey,62404.7322676613,33778272.6225994
271,Los Angeles County,Monterey Park,29326.949484582,29283239.527002
272,Ventura County,Moorpark,42232.5468950513,47443671.590271
273,Contra Costa County,Moraga,39302.4314547199,39423785.5028918
274,Riverside County,Moreno Valley,94349.196957012,194350133.56317
275,Santa Clara County,Morgan Hill,107865.212970922,52684218.4984161
276,San Luis Obispo County,Morro Bay,33082.3853924297,22725104.7824241
277,Siskiyou County,Mount Shasta,35894.2433801918,16632751.6392325
278,Santa Clara County,Mountain View,55014.0164038453,49800864.9962726
279,Riverside County,Murrieta,70854.2433186763,132579808.223812
280,Napa County,Napa,129292.8064566,77275595.1742495
281,San Diego County,National City,65496.5155024342,34048019.0838587
282,San Bernardino County,Needles,65601.4872577461,120091733.844164
283,Nevada County,Nevada City,26575.352051491,10463184.4130237
284,Alameda County,Newark,38383.187004936,57937447.9743273
285,Stanislaus County,Newman,23323.0093765099,9153131.47217905
286,Orange County,Newport Beach,76368.9879008792,96844166.3780439
287,Riverside County,Norco,44795.0310725192,52725529.6710921
288,Los Angeles County,Norwalk,33681.1593247381,36808276.7106548
289,Marin County,Novato,113810.136110652,116179755.102988
290,Stanislaus County,Oakdale,44420.9343857253,25970786.8501047
291,Alameda County,Oakland,151706.256906364,234482410.542487
292,Contra Costa County,Oakley,48896.3335924294,67575454.4847717
293,San Diego County,Oceanside,88485.2199325824,156297924.772612
294,Ventura County,Ojai,27313.3387292618,16675178.1931871
295,San Bernardino County,Ontario,65549.8188591018,188799234.138174
296,Orange County,Orange,125452.569053568,96990047.5816796
297,Fresno County,Orange Cove,17048.0021486975,7307085.28607837
298,Contra Costa County,Orinda,48201.5619698944,53571808.9886801
299,Glenn County,Orland,25512.4387545691,13376450.2927598
300,Butte County,Oroville,92810.9581330495,60879198.4041952
301,Ventura County,Oxnard,119705.266432697,103384649.445673
302,Monterey County,Pacific Grove,23612.9367020844,11581313.4917539
303,San Mateo County,Pacifica,50089.2642504888,51225121.644965
304,Riverside County,Palm Desert,75852.3169235932,101245717.137121
305,Riverside County,Palm Springs,176647.2491073,355396214.528132
306,Los Angeles County,Palmdale,252662.090694186,407179963.172327
307,Santa Clara County,Palo Alto,113834.153750631,99493789.9806316
308,Los Angeles County,Palos Verdes Estates,26362.1370427483,17945250.2345171
309,Butte County,Paradise,41387.3605974373,79149934.7521621
310,Los Angeles County,Paramount,24978.287903973,18182189.6034316
311,Fresno County,Parlier,25764.7988842074,10102799.9772591
312,Los Angeles County,Pasadena,104400.65740068,87596637.3309266
313,San Luis Obispo County,Paso Robles,79099.9631472184,78451276.4576045
314,Stanislaus County,Patterson,47809.9939070796,32966273.9843555
315,Riverside County,Perris,85799.9360111607,119273635.040217
316,Sonoma County,Petaluma,69868.3195990971,61106209.5887692
317,Los Angeles County,Pico Rivera,35140.8195868481,33631102.5789428
318,Alameda County,Piedmont,11465.0425020326,7101422.30703561
319,Contra Costa County,Pinole,34440.0239766394,21386004.4594431
320,San Luis Obispo County,Pismo Beach,39843.7872920345,13629364.4684667
321,Contra Costa County,Pittsburg,71416.5350528146,69531463.5939579
322,Orange County,Placentia,41568.0799076627,25449514.8624039
323,El Dorado County,Placerville,56151.0248966071,24896520.9642224
324,Contra Costa County,Pleasant Hill,41265.9497930637,29528845.4360196
325,Alameda County,Pleasanton,99481.7851363046,100559666.475593
326,Amador County,Plymouth,30729.35836683,11259635.9165606
327,Mendocino County,Point Arena,18604.209076425,5830643.61583548
328,Los Angeles County,Pomona,60197.4759527284,86966217.4910985
329,Ventura County,Port Hueneme,19385.6125533726,17129351.8233225
330,Tulare County,Porterville,135930.261313348,73751005.234322
331,Plumas County,Portola,39369.730649703,23882912.7206654
332,San Mateo County,Portola Valley,32912.2900568081,37194464.1634801
333,San Diego County,Poway,77232.968746495,144425441.001967
334,Sacramento County,Rancho Cordova,83462.6537291148,147803635.101014
335,San Bernardino County,Rancho Cucamonga,65058.1414967628,176241519.265813
336,Riverside County,Rancho Mirage,63949.9875631548,96268314.6018756
337,Los Angeles County,Rancho Palos Verdes,75836.0300781799,50713336.300191
338,Orange County,Rancho Santa Margarita,53464.1401963858,48612477.8376163
339,Tehama County,Red Bluff,72739.7930564116,34586664.1097097
340,Shasta County,Redding,200000.988793741,273653968.229623
341,San Bernardino County,Redlands,111503.8804499,137152895.611405
342,Los Angeles County,Redondo Beach,34894.4982820601,23622095.2656909
343,San Mateo County,Redwood City,92437.1936052487,89682547.7666778
344,Fresno County,Reedley,41230.7356330241,22975151.1641414
345,San Bernardino County,Rialto,98757.8257432648,91388475.1263002
346,Contra Costa County,Richmond,176936.864297348,126635723.408025
347,Kern County,Ridgecrest,69285.6842992602,84540258.2052585
348,Humboldt County,Rio Dell,28074.4529879768,11666572.9428628
349,Solano County,Rio Vista,35504.9377417898,28946504.310722
350,San Joaquin County,Ripon,37013.131352608,22826054.4346084
351,Stanislaus County,Riverbank,28668.4189465791,19700054.0342981
352,Riverside County,Riverside,125798.511184193,307572982.463082
353,Placer County,Rocklin,52386.9755166649,84310931.4253948
354,Sonoma County,Rohnert Park,40907.7927508785,30844480.6096125
355,Los Angeles County,Rolling Hills,17708.954609818,11232758.5027481
356,Los Angeles County,Rolling Hills Estates,44994.2709509077,13512017.9827935
357,Los Angeles County,Rosemead,34742.7357578778,19557751.9696624
358,Placer County,Roseville,103311.806525831,188369744.8487
359,Marin County,Ross,14400.5253607843,6484906.70660217
360,Sacramento County,Sacramento,198191.307153299,426985040.365471
361,Monterey County,Salinas,59273.33595123,94906032.0793497
362,Marin County,San Anselmo,23654.6015568919,11135595.0846765
363,San Bernardino County,San Bernardino,262092.247574126,236716212.665082
364,San Mateo County,San Bruno,29895.9520054611,22677893.8077051
365,San Mateo County,San Carlos,38448.3637078263,22254918.4389652
366,Orange County,San Clemente,46044.8517827769,68405516.8542056
367,San Diego County,San Diego,436317.879236894,1248205620.07126
368,Los Angeles County,San Dimas,62781.5096451824,58386490.483068
369,Los Angeles County,San Fernando,13535.9812501845,9028756.76226954
370,San Francisco County,San Francisco,88301.4180933717,196949598.663271
371,Los Angeles County,San Gabriel,35543.9585891006,15644461.1616249
372,Riverside County,San Jacinto,72236.8897714846,97905720.3148299
373,Fresno County,San Joaquin,16766.4019022678,4621579.17606134
374,Santa Clara County,San Jose,548365.361884909,737033136.39539
375,San Benito County,San Juan Bautista,11890.069981842,3167350.2152808
376,Orange County,San Juan Capistrano,40088.3685049416,53790532.1005175
377,Alameda County,San Leandro,44200.2435678814,55285758.8937201
378,San Luis Obispo County,San Luis Obispo,64014.1123562745,53732383.9330275
379,San Diego County,San Marcos,82510.4805631379,91057941.1472463
380,Los Angeles County,San Marino,20988.4490165261,14270623.8879693
381,San Mateo County,San Mateo,55177.2612217596,51564478.1988333
382,Contra Costa County,San Pablo,20726.5993354693,10874267.5427037
383,Marin County,San Rafael,91006.8750747007,69671461.0117095
384,Contra Costa County,San Ramon,53395.8070927928,83442933.0399712
385,Monterey County,Sand City,7138.36859943782,1796315.19620422
386,Fresno County,Sanger,37975.2845181643,25745230.7287949
387,Orange County,Santa Ana,59302.7805368933,102839199.839499
388,Santa Barbara County,Santa Barbara,98839.2010643322,74606959.183203
389,Santa Clara County,Santa Clara,57247.5394000394,74902465.7555558
390,Los Angeles County,Santa Clarita,148633.869891735,281035744.056713
391,Santa Cruz County,Santa Cruz,62123.8288237197,51691196.3473927
392,Los Angeles County,Santa Fe Springs,57872.9335287863,33436574.3359768
393,Santa Barbara County,Santa Maria,87445.0654955857,90876210.1744307
394,Los Angeles County,Santa Monica,24257.4507289066,32082292.8560055
395,Ventura County,Santa Paula,32901.1521804357,21769065.8142813
396,Sonoma County,Santa Rosa,242676.913174545,181072786.664544
397,San Diego County,Santee,53930.9764065265,61476399.0172872
398,Santa Clara County,Saratoga,38817.2785063896,52363743.5175516
399,Marin County,Sausalito,16242.2277263469,7080118.06322823
400,Santa Cruz County,Scotts Valley,36209.3571723623,18918068.4306925
401,Orange County,Seal Beach,35824.5391698201,44399508.1645269
402,Monterey County,Seaside,28212.9650109748,36887352.6259728
403,Sonoma County,Sebastopol,24799.909737492,7955178.22507427
404,Fresno County,Selma,42700.0393880472,24164262.579551
405,Kern County,Shafter,95729.492022684,151821812.455869
406,Shasta County,Shasta Lake,36093.9784174093,48898999.3087246
407,Los Angeles County,Sierra Madre,14811.9570955172,11224449.2567072
408,Los Angeles County,Signal Hill,20716.915832133,8264127.45873899
409,Ventura County,Simi Valley,105756.639551388,160890677.499016
410,San Diego County,Solana Beach,17558.2527111891,12560984.2240206
411,Monterey County,Soledad,40970.0674386274,18967235.5981307
412,Santa Barbara County,Solvang,24030.5302076739,9345813.86312792
413,Sonoma County,Sonoma,23965.6541412624,11066280.9174672
414,Tuolumne County,Sonora,21841.3153046014,12993931.216893
415,Los Angeles County,South El Monte,22809.6764083632,10779084.3213593
416,Los Angeles County,South Gate,37662.4536423541,27722903.2801647
417,El Dorado County,South Lake Tahoe,55722.3548450287,74955766.5017587
418,Los Angeles County,South Pasadena,15984.1823101075,12938404.6181602
419,San Mateo County,South San Francisco,63526.8704218797,37846655.0879356
420,Napa County,St. Helena,31535.1310814157,21512630.0827591
421,Orange County,Stanton,33300.4520280913,11686963.3255021
422,San Joaquin County,Stockton,284813.220250237,278014059.512461
423,Solano County,Suisun City,34089.7754987632,17185788.9218715
424,Santa Clara County,Sunnyvale,65461.3349032565,91366829.7289571
425,Lassen County,Susanville,66159.6641249555,35320273.891527
426,Amador County,Sutter Creek,32078.5374722284,11336994.7470368
427,Kern County,Taft,53480.1890850927,58700884.6289617
428,Kern County,Tehachapi,65979.9971991654,40037908.2255486
429,Tehama County,Tehama,8621.66531532492,3456750.79899763
430,Riverside County,Temecula,86802.7810393325,138824878.917206
431,Los Angeles County,Temple City,22322.1022544233,15259510.0670147
432,Ventura County,Thousand Oaks,123581.970514256,210501999.255047
433,Marin County,Tiburon,51570.4215615985,18858938.9419674
434,Los Angeles County,Torrance,51428.430631003,77320312.0538052
435,San Joaquin County,Tracy,125788.374810061,109862055.167551
436,Humboldt County,Trinidad,13036.2260908997,2078558.23055038
437,Nevada County,Truckee,84197.3999131941,146094276.200874
438,Tulare County,Tulare,81653.8841298526,81967301.8035329
439,Siskiyou County,Tulelake,6727.17644894909,1910091.03567039
440,Stanislaus County,Turlock,63716.0717651399,69494538.8416382
441,Orange County,Tustin,57211.4758158786,41819879.9576922
442,San Bernardino County,Twentynine Palms,106740.961513121,222716147.319227
443,Mendocino County,Ukiah,47346.9211464455,23782215.8095443
444,Alameda County,Union City,71696.1154246194,80379839.0763646
445,San Bernardino County,Upland,35232.5753924715,59383104.3986245
446,Solano County,Vacaville,99690.7130289876,125851333.400967
447,Solano County,Vallejo,111412.910232218,128771726.437983
448,Ventura County,Ventura,127362.404492534,84174620.9289214
449,Los Angeles County,Vernon,31189.7708180504,19472425.7497976
450,San Bernardino County,Victorville,142992.118895073,283232792.742999
451,Orange County,Villa Park,17651.500636202,7852513.83502899
452,Tulare County,Visalia,131880.653254394,153532653.588678
453,San Diego County,Vista,93818.7914971056,70483124.9845368
454,Los Angeles County,Walnut,33705.233968154,33932925.4791609
455,Contra Costa County,Walnut Creek,116484.293896661,82433215.0420361
456,Kern County,Wasco,51022.822768215,37477425.0796666
457,Stanislaus County,Waterford,18640.9936799565,10162999.6950461
458,Santa Cruz County,Watsonville,51227.2813053875,27801619.2577781
459,Siskiyou County,Weed,36202.9771162099,22193272.4274705
