# Title: January 2016 - December 2017 Contiguous U.S. County Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
# Note: Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
MN-021,Cass County,Minnesota,42.6,3.9,123,38.7
MN-023,Chippewa County,Minnesota,46.7,3.7,126,43
MN-025,Chisago County,Minnesota,46,3.6,125,42.4
MN-027,Clay County,Minnesota,44,3.8,125,40.2
MN-029,Clearwater County,Minnesota,41.4,3.7,125,37.7
MN-031,Cook County,Minnesota,37.8,2.5,117,35.3
MN-033,Cottonwood County,Minnesota,46.7,3,122,43.7
MN-035,Crow Wing County,Minnesota,43.2,3.6,122,39.6
MN-037,Dakota County,Minnesota,47.6,3.5,125,44.2
MN-039,Dodge County,Minnesota,46.2,3.2,125,43
MN-041,Douglas County,Minnesota,43.9,3.8,126,40.1
MN-043,Faribault County,Minnesota,47.6,2.8,125,44.7
MN-045,Fillmore County,Minnesota,46.5,2.9,126,43.6
MN-047,Freeborn County,Minnesota,47,3,125,43.9
MN-049,Goodhue County,Minnesota,47,3.3,126,43.6
MN-051,Grant County,Minnesota,44.9,3.9,126,41.1
MN-053,Hennepin County,Minnesota,47.1,3.6,124,43.5
MN-055,Houston County,Minnesota,48.1,3.2,127,44.9
MN-057,Hubbard County,Minnesota,42.2,3.9,125,38.3
MN-059,Isanti County,Minnesota,45.7,3.6,125,42.1
MN-061,Itasca County,Minnesota,40.8,3.6,120,37.3
MN-063,Jackson County,Minnesota,46.8,2.9,122,43.9
MN-065,Kanabec County,Minnesota,44.2,3.6,124,40.6
MN-067,Kandiyohi County,Minnesota,45.8,3.7,125,42.1
MN-069,Kittson County,Minnesota,41.9,5.1,127,36.8
MN-071,Koochiching County,Minnesota,40.1,3.6,122,36.4
MN-073,Lac qui Parle County,Minnesota,46.7,3.5,125,43.2
MN-075,Lake County,Minnesota,38.8,2.9,118,36
MN-077,Lake of the Woods County,Minnesota,40.2,3.9,123,36.2
MN-079,Le Sueur County,Minnesota,47.3,3.2,126,44.2
MN-081,Lincoln County,Minnesota,45.8,3,123,42.8
MN-083,Lyon County,Minnesota,46.9,3.1,126,43.7
MN-085,McLeod County,Minnesota,46.8,3.5,127,43.2
MN-087,Mahnomen County,Minnesota,41.7,3.5,122,38.3
MN-089,Marshall County,Minnesota,41.7,4.3,126,37.4
MN-091,Martin County,Minnesota,47.4,3,125,44.4
MN-093,Meeker County,Minnesota,45.7,3.5,122,42.3
MN-095,Mille Lacs County,Minnesota,44.3,3.7,124,40.6
MN-097,Morrison County,Minnesota,44.1,3.6,123,40.5
MN-099,Mower County,Minnesota,46.5,3.4,126,43.2
MN-101,Murray County,Minnesota,46.2,2.9,122,43.3
MN-103,Nicollet County,Minnesota,47.5,3.1,126,44.4
MN-105,Nobles County,Minnesota,46.6,2.8,124,43.9
MN-107,Norman County,Minnesota,43.2,3.6,125,39.6
MN-109,Olmsted County,Minnesota,46.3,3.1,124,43.2
MN-111,Otter Tail County,Minnesota,43.5,3.7,126,39.8
MN-113,Pennington County,Minnesota,41.7,3.8,126,37.9
MN-115,Pine County,Minnesota,43.4,3.6,123,39.8
MN-117,Pipestone County,Minnesota,46.3,3.1,125,43.1
MN-119,Polk County,Minnesota,42.5,3.8,126,38.7
MN-121,Pope County,Minnesota,44.7,3.7,125,41
MN-123,Ramsey County,Minnesota,47.2,3.3,124,43.9
MN-125,Red Lake County,Minnesota,42,3.7,126,38.4
MN-127,Redwood County,Minnesota,47.5,3.4,126,44.1
MN-129,Renville County,Minnesota,47.2,3.7,127,43.6
MN-131,Rice County,Minnesota,47.1,3.4,126,43.8
MN-133,Rock County,Minnesota,47.4,3.2,125,44.2
MN-135,Roseau County,Minnesota,40.8,4.6,126,36.2
MN-137,St. Louis County,Minnesota,39.8,3.3,120,36.5
MN-139,Scott County,Minnesota,47.7,3.5,127,44.2
MN-141,Sherburne County,Minnesota,45.6,3.5,123,42.1
MN-143,Sibley County,Minnesota,47.4,3.4,128,43.9
MN-145,Stearns County,Minnesota,44.8,3.5,122,41.3
MN-147,Steele County,Minnesota,46.9,3.4,126,43.5
MN-149,Stevens County,Minnesota,45.4,3.7,126,41.6
MN-151,Swift County,Minnesota,46,3.8,126,42.3
MN-153,Todd County,Minnesota,43.8,3.7,126,40
MN-155,Traverse County,Minnesota,45.8,3.9,127,41.9
MN-157,Wabasha County,Minnesota,47.1,3.2,125,43.9
MN-159,Wadena County,Minnesota,43.3,4,126,39.3
MN-161,Waseca County,Minnesota,47.3,3.3,126,44
MN-163,Washington County,Minnesota,47,3.3,125,43.7
MN-165,Watonwan County,Minnesota,47.5,3.1,124,44.4
MN-167,Wilkin County,Minnesota,45.1,4,127,41.1
MN-169,Winona County,Minnesota,47.6,3.5,127,44.1
MN-171,Wright County,Minnesota,46.1,3.5,123,42.6
MN-173,Yellow Medicine County,Minnesota,47,3.3,126,43.7
MS-001,Adams County,Mississippi,67.4,1.8,127,65.6
MS-003,Alcorn County,Mississippi,62,2,126,60
MS-005,Amite County,Mississippi,67.6,2.3,128,65.3
MS-007,Attala County,Mississippi,65.1,2.5,128,62.6
MS-009,Benton County,Mississippi,62.7,2.4,127,60.3
MS-011,Bolivar County,Mississippi,65,2.1,128,62.8
MS-013,Calhoun County,Mississippi,64.5,2.3,127,62.2
MS-015,Carroll County,Mississippi,65.2,2.5,128,62.6
MS-017,Chickasaw County,Mississippi,64.5,2.2,127,62.3
MS-019,Choctaw County,Mississippi,64.5,2.3,128,62.1
MS-021,Claiborne County,Mississippi,67.2,2.2,126,65
MS-023,Clarke County,Mississippi,66.4,2.3,126,64.2
MS-025,Clay County,Mississippi,65.3,2.6,127,62.7
MS-027,Coahoma County,Mississippi,64.6,2.3,128,62.2
MS-029,Copiah County,Mississippi,66.6,1.8,125,64.8
MS-031,Covington County,Mississippi,66.7,1.9,125,64.8
MS-033,DeSoto County,Mississippi,63.7,2.1,126,61.6
MS-035,Forrest County,Mississippi,67.5,2,127,65.5
MS-037,Franklin County,Mississippi,67,1.9,125,65.1
MS-039,George County,Mississippi,67.8,1.8,126,65.9
MS-041,Greene County,Mississippi,67.4,1.9,127,65.5
MS-043,Grenada County,Mississippi,64.8,2.2,127,62.6
MS-045,Hancock County,Mississippi,68.6,2.1,127,66.5
MS-047,Harrison County,Mississippi,67.9,1.5,123,66.4
MS-049,Hinds County,Mississippi,67.1,2.5,128,64.6
MS-051,Holmes County,Mississippi,66.2,2.7,128,63.5
MS-053,Humphreys County,Mississippi,66.8,2.8,128,63.9
MS-055,Issaquena County,Mississippi,67.3,3.1,128,64.2
MS-057,Itawamba County,Mississippi,63.6,2.2,127,61.4
MS-059,Jackson County,Mississippi,68.3,1.8,125,66.5
MS-061,Jasper County,Mississippi,66.2,2.1,126,64
MS-063,Jefferson County,Mississippi,67,1.9,126,65.1
MS-065,Jefferson Davis County,Mississippi,66.8,1.9,126,64.9
MS-067,Jones County,Mississippi,66.8,1.8,125,65
MS-069,Kemper County,Mississippi,65.4,2.2,127,63.2
MS-071,Lafayette County,Mississippi,63.9,2.1,127,61.7
MS-073,Lamar County,Mississippi,67.4,2,127,65.5
MS-075,Lauderdale County,Mississippi,66.1,2.6,126,63.5
MS-077,Lawrence County,Mississippi,67.1,2,126,65.1
MS-079,Leake County,Mississippi,65.4,2.3,127,63.1
MS-081,Lee County,Mississippi,63.9,2.2,126,61.8
MS-083,Leflore County,Mississippi,66,2.7,127,63.2
MS-085,Lincoln County,Mississippi,66.8,1.9,126,64.9
MS-087,Lowndes County,Mississippi,65.6,2.7,127,63
MS-089,Madison County,Mississippi,66.5,2.4,127,64.2
MS-091,Marion County,Mississippi,67.6,1.9,127,65.7
MS-093,Marshall County,Mississippi,63.3,2.4,128,60.9
MS-095,Monroe County,Mississippi,64.6,2.2,127,62.4
MS-097,Montgomery County,Mississippi,64.1,1.9,126,62.3
MS-099,Neshoba County,Mississippi,64.9,2.2,127,62.8
MS-101,Newton County,Mississippi,65.8,2.5,128,63.3
MS-103,Noxubee County,Mississippi,65.5,2.4,127,63.1
MS-105,Oktibbeha County,Mississippi,65.6,2.9,128,62.7
MS-107,Panola County,Mississippi,64.2,2.1,127,62.1
MS-109,Pearl River County,Mississippi,67.9,2.1,126,65.8
MS-111,Perry County,Mississippi,67.4,1.9,125,65.5
MS-113,Pike County,Mississippi,67.8,2.5,128,65.3
MS-115,Pontotoc County,Mississippi,63.8,2.1,127,61.7
MS-117,Prentiss County,Mississippi,62.7,2,127,60.7
MS-119,Quitman County,Mississippi,64.6,2.2,127,62.4
MS-121,Rankin County,Mississippi,66.6,2.5,128,64.1
MS-123,Scott County,Mississippi,65.8,2.5,128,63.4
MS-125,Sharkey County,Mississippi,67.1,3,128,64.1
MS-127,Simpson County,Mississippi,66.6,2.1,126,64.4
MS-129,Smith County,Mississippi,66.3,2.2,126,64.1
MS-131,Stone County,Mississippi,67.3,1.5,122,65.8
MS-133,Sunflower County,Mississippi,65.7,2.4,128,63.2
MS-135,Tallahatchie County,Mississippi,65.2,2.4,128,62.7
MS-137,Tate County,Mississippi,63.7,1.9,126,61.8
MS-139,Tippah County,Mississippi,62.4,2.1,127,60.2
MS-141,Tishomingo County,Mississippi,62.1,2,126,60.1
MS-143,Tunica County,Mississippi,64,2,125,62
MS-145,Union County,Mississippi,63.3,2.1,127,61.2
MS-147,Walthall County,Mississippi,67.6,2.2,127,65.4
MS-149,Warren County,Mississippi,67.7,3,128,64.7
MS-151,Washington County,Mississippi,66.1,2.4,128,63.7
MS-153,Wayne County,Mississippi,66.6,1.8,125,64.8
MS-155,Webster County,Mississippi,64.4,2.2,127,62.2
MS-157,Wilkinson County,Mississippi,67.7,1.8,126,65.9
MS-159,Winston County,Mississippi,64.8,2.4,128,62.4
MS-161,Yalobusha County,Mississippi,64.4,2.2,127,62.2
MS-163,Yazoo County,Mississippi,67.1,2.8,128,64.3
MO-001,Adair County,Missouri,54.2,3.1,128,51.1
MO-003,Andrew County,Missouri,54.9,2.7,126,52.3
MO-005,Atchison County,Missouri,54.4,3,128,51.5
MO-007,Audrain County,Missouri,56,2.9,128,53.2
MO-009,Barry County,Missouri,58.9,2.6,127,56.3
MO-011,Barton County,Missouri,58.7,1.9,123,56.8
MO-013,Bates County,Missouri,58.2,2.6,126,55.6
MO-015,Benton County,Missouri,58,3,129,54.9
MO-017,Bollinger County,Missouri,58.3,2.1,126,56.2
MO-019,Boone County,Missouri,57,2.9,128,54
MO-021,Buchanan County,Missouri,55.8,2.8,128,53
MO-023,Butler County,Missouri,60.1,2.1,128,58
MO-025,Caldwell County,Missouri,55.3,3,128,52.3
MO-027,Callaway County,Missouri,57,2.8,128,54.2
MO-029,Camden County,Missouri,58.8,3.4,128,55.4
MO-031,Cape Girardeau County,Missouri,58.7,2.5,128,56.2
MO-033,Carroll County,Missouri,56,2.7,128,53.3
MO-035,Carter County,Missouri,58.7,2.6,128,56.1
MO-037,Cass County,Missouri,57.4,3.2,128,54.2
MO-039,Cedar County,Missouri,58.7,2.4,126,56.3
MO-041,Chariton County,Missouri,56.4,3.1,129,53.3
MO-043,Christian County,Missouri,58.1,2.7,129,55.4
MO-045,Clark County,Missouri,54,2.2,123,51.7
MO-047,Clay County,Missouri,56.5,3.1,128,53.4
MO-049,Clinton County,Missouri,55.3,2.9,128,52.4
MO-051,Cole County,Missouri,58,2.9,128,55.1
MO-053,Cooper County,Missouri,57.1,3,128,54.1
MO-055,Crawford County,Missouri,57,2.8,128,54.2
MO-057,Dade County,Missouri,58.9,2.6,127,56.3
MO-059,Dallas County,Missouri,57.6,2.4,127,55.2
MO-061,Daviess County,Missouri,54.6,2.6,125,52
MO-063,DeKalb County,Missouri,54.5,2.6,125,52
MO-065,Dent County,Missouri,57.2,2.7,129,54.5
MO-067,Douglas County,Missouri,58,2.6,127,55.4
MO-069,Dunklin County,Missouri,61.7,2.6,128,59.1
MO-071,Franklin County,Missouri,57.5,3.1,128,54.3
MO-073,Gasconade County,Missouri,57.2,2.9,128,54.2
MO-075,Gentry County,Missouri,54.2,2.8,127,51.4
MO-077,Greene County,Missouri,58.3,3,128,55.3
MO-079,Grundy County,Missouri,54.7,2.6,127,52.1
MO-081,Harrison County,Missouri,53.9,2.9,128,51
MO-083,Henry County,Missouri,58.2,2.9,129,55.3
MO-085,Hickory County,Missouri,57.9,2.5,128,55.4
MO-087,Holt County,Missouri,55.2,2.8,126,52.4
MO-089,Howard County,Missouri,56.8,3.1,128,53.7
MO-091,Howell County,Missouri,58.9,3.4,128,55.4
MO-093,Iron County,Missouri,56.7,2.4,127,54.3
MO-095,Jackson County,Missouri,57,3.1,128,53.9
MO-097,Jasper County,Missouri,59.5,2.5,127,57
MO-099,Jefferson County,Missouri,58.5,3.4,129,55.1
MO-101,Johnson County,Missouri,57.4,3.4,128,54
MO-103,Knox County,Missouri,54,2.5,127,51.4
MO-105,Laclede County,Missouri,57.9,2.7,128,55.1
MO-107,Lafayette County,Missouri,56.7,3.1,128,53.6
MO-109,Lawrence County,Missouri,58.6,2.7,127,55.9
MO-111,Lewis County,Missouri,54.5,2.2,124,52.3
MO-113,Lincoln County,Missouri,56.7,3.1,128,53.6
MO-115,Linn County,Missouri,55.5,3,129,52.5
MO-117,Livingston County,Missouri,55.3,2.5,126,52.8
MO-119,McDonald County,Missouri,60.3,3,128,57.3
MO-121,Macon County,Missouri,55.3,3.2,128,52.1
MO-123,Madison County,Missouri,57.1,1.9,125,55.2
MO-125,Maries County,Missouri,58.1,3,128,55.1
MO-127,Marion County,Missouri,55.1,2.3,126,52.8
MO-129,Mercer County,Missouri,53.3,2.3,124,51
MO-131,Miller County,Missouri,58.9,3.7,128,55.2
MO-133,Mississippi County,Missouri,60,2.3,125,57.8
MO-135,Moniteau County,Missouri,57.4,2.9,128,54.5
MO-137,Monroe County,Missouri,55.6,2.7,129,52.9
MO-139,Montgomery County,Missouri,56.7,3.2,128,53.5
MO-141,Morgan County,Missouri,57.8,3.4,128,54.4
MO-143,New Madrid County,Missouri,60.9,2.4,128,58.5
MO-145,Newton County,Missouri,59.9,3,128,56.9
MO-147,Nodaway County,Missouri,54.1,3.1,128,51
MO-149,Oregon County,Missouri,59.6,3.5,128,56.1
MO-151,Osage County,Missouri,57.8,2.8,128,54.9
MO-153,Ozark County,Missouri,59,2.8,128,56.2
MO-155,Pemiscot County,Missouri,62,2.7,128,59.3
MO-157,Perry County,Missouri,57.9,2.5,127,55.4
MO-159,Pettis County,Missouri,57.2,3,128,54.2
MO-161,Phelps County,Missouri,58.1,3,128,55.1
MO-163,Pike County,Missouri,56.2,3.2,129,53
MO-165,Platte County,Missouri,56.6,3.1,128,53.5
MO-167,Polk County,Missouri,58.2,2.8,128,55.5
MO-169,Pulaski County,Missouri,58.8,3.5,128,55.3
MO-171,Putnam County,Missouri,53,2.1,123,50.9
MO-173,Ralls County,Missouri,55.7,2.7,128,52.9
MO-175,Randolph County,Missouri,56.2,3.3,129,52.9
MO-177,Ray County,Missouri,56.1,3,128,53.1
MO-179,Reynolds County,Missouri,57.4,2.6,128,54.8
MO-181,Ripley County,Missouri,59.5,2.4,128,57.1
MO-183,St. Charles County,Missouri,57.8,3.2,128,54.6
MO-185,St. Clair County,Missouri,58.3,2.3,125,56
MO-186,Ste. Genevieve County,Missouri,57.9,2.7,128,55.2
MO-187,St. Francois County,Missouri,57,2.4,127,54.6
MO-189,St. Louis County,Missouri,58.5,3.3,128,55.2
MO-195,Saline County,Missouri,56.7,2.9,128,53.8
MO-197,Schuyler County,Missouri,53.4,2.7,128,50.7
MO-199,Scotland County,Missouri,53.5,2.5,126,51
MO-201,Scott County,Missouri,59.6,2.4,126,57.3
MO-203,Shannon County,Missouri,58.5,3.3,128,55.3
MO-205,Shelby County,Missouri,54.6,2.4,127,52.1
MO-207,Stoddard County,Missouri,60.2,2.2,128,57.9
MO-209,Stone County,Missouri,58.9,2.6,129,56.4
MO-211,Sullivan County,Missouri,54,2.4,127,51.5
MO-213,Taney County,Missouri,58.9,2.4,127,56.6
MO-215,Texas County,Missouri,57.8,2.8,128,54.9
MO-217,Vernon County,Missouri,58.5,2.1,124,56.4
MO-219,Warren County,Missouri,57.2,3.5,129,53.7
MO-221,Washington County,Missouri,57.1,2.9,128,54.2
MO-223,Wayne County,Missouri,58.5,2.1,127,56.3
MO-225,Webster County,Missouri,57.1,2.6,127,54.5
MO-227,Worth County,Missouri,53.6,3.2,128,50.4
MO-229,Wright County,Missouri,57.2,2.4,126,54.8
MO-510,St. Louis City,Missouri,58.9,3.4,128,55.5
MT-001,Beaverhead County,Montana,39.3,2.6,126,36.8
MT-003,Big Horn County,Montana,46.7,2.7,124,44
MT-005,Blaine County,Montana,44.4,3.2,124,41.2
MT-007,Broadwater County,Montana,44,2.3,122,41.7
MT-009,Carbon County,Montana,44.4,3.1,126,41.3
MT-011,Carter County,Montana,46.1,3.2,125,42.8
MT-013,Cascade County,Montana,44.5,2.2,121,42.2
MT-015,Chouteau County,Montana,45,2.2,117,42.8
MT-017,Custer County,Montana,47.4,3.4,127,44
MT-019,Daniels County,Montana,41.5,3.4,122,38.1
MT-021,Dawson County,Montana,45.2,3.2,125,42.1
MT-023,Deer Lodge County,Montana,39.8,3,127,36.8
MT-025,Fallon County,Montana,45.4,2.8,123,42.6
MT-027,Fergus County,Montana,45.5,2.5,122,43
MT-029,Flathead County,Montana,41.4,2.6,124,38.8
MT-031,Gallatin County,Montana,41.2,2.6,125,38.6
MT-033,Garfield County,Montana,46,3,122,43
MT-035,Glacier County,Montana,41,3,122,38
MT-037,Golden Valley County,Montana,45.5,1.9,117,43.5
MT-039,Granite County,Montana,40.8,2.9,126,37.9
MT-041,Hill County,Montana,43.2,2.9,121,40.3
MT-043,Jefferson County,Montana,42.5,2.8,128,39.7
MT-045,Judith Basin County,Montana,43,2.4,122,40.7
MT-047,Lake County,Montana,44.7,2.3,125,42.3
MT-049,Lewis and Clark County,Montana,42.4,2.7,125,39.7
MT-051,Liberty County,Montana,43.3,2.9,121,40.4
MT-053,Lincoln County,Montana,43,2.6,125,40.3
MT-055,McCone County,Montana,44.9,3.2,123,41.6
MT-057,Madison County,Montana,41.3,2.8,126,38.6
MT-059,Meagher County,Montana,41.5,3,127,38.5
MT-061,Mineral County,Montana,43.2,2,123,41.2
MT-063,Missoula County,Montana,42.6,2.2,125,40.3
MT-065,Musselshell County,Montana,46.4,1.7,108,44.7
MT-067,Park County,Montana,40.8,3,127,37.8
MT-069,Petroleum County,Montana,47.4,2.6,121,44.8
MT-071,Phillips County,Montana,45.3,3.4,124,41.9
MT-073,Pondera County,Montana,43.1,2.8,123,40.3
MT-075,Powder River County,Montana,47.6,3.3,127,44.3
MT-077,Powell County,Montana,41.4,3.1,128,38.3
MT-079,Prairie County,Montana,46.1,3.2,126,43
MT-081,Ravalli County,Montana,41.4,2.2,124,39.3
MT-083,Richland County,Montana,44.6,3.3,125,41.2
MT-085,Roosevelt County,Montana,43.6,3.6,125,40.1
MT-087,Rosebud County,Montana,46.7,2.7,123,44
MT-089,Sanders County,Montana,43.6,1.5,113,42
MT-091,Sheridan County,Montana,42.4,3.7,125,38.7
MT-093,Silver Bow County,Montana,41.1,2.8,126,38.3
MT-095,Stillwater County,Montana,44.4,1.8,113,42.6
MT-097,Sweet Grass County,Montana,43.9,2.3,120,41.6
MT-099,Teton County,Montana,43.1,2.8,122,40.4
MT-101,Toole County,Montana,43.6,2.9,122,40.6
MT-103,Treasure County,Montana,47.2,2.6,122,44.6
MT-105,Valley County,Montana,43.4,3.3,122,40.1
MT-107,Wheatland County,Montana,44.2,2.4,125,41.8
MT-109,Wibaux County,Montana,45,2.7,122,42.3
MT-111,Yellowstone County,Montana,47.5,2.2,117,45.3
NE-001,Adams County,Nebraska,53.2,3.1,128,50.1
NE-003,Antelope County,Nebraska,50.2,2.4,124,47.8
NE-005,Arthur County,Nebraska,50.2,2.9,128,47.3
NE-007,Banner County,Nebraska,49.5,2.9,129,46.6
NE-009,Blaine County,Nebraska,50.6,2.4,126,48.2
NE-011,Boone County,Nebraska,51,3,128,47.9
NE-013,Box Butte County,Nebraska,48.3,2.2,120,46.1
NE-015,Boyd County,Nebraska,50.4,2.6,127,47.8
NE-017,Brown County,Nebraska,50.3,2.7,126,47.6
NE-019,Buffalo County,Nebraska,52.4,3.2,128,49.3
NE-021,Burt County,Nebraska,51.6,3.1,128,48.5
NE-023,Butler County,Nebraska,52.1,2.7,126,49.4
NE-025,Cass County,Nebraska,53.5,3,128,50.6
NE-027,Cedar County,Nebraska,49.9,2.7,126,47.2
NE-029,Chase County,Nebraska,52.5,2.7,126,49.8
NE-031,Cherry County,Nebraska,49.4,2.8,126,46.6
NE-033,Cheyenne County,Nebraska,50.5,2.9,129,47.6
NE-035,Clay County,Nebraska,53.4,3.2,129,50.2
NE-037,Colfax County,Nebraska,52.2,3.4,128,48.8
NE-039,Cuming County,Nebraska,51.1,2.9,128,48.2
NE-041,Custer County,Nebraska,51,2.8,127,48.1
NE-043,Dakota County,Nebraska,50.8,3.1,129,47.7
NE-045,Dawes County,Nebraska,49.3,2.7,122,46.6
NE-047,Dawson County,Nebraska,51.9,2.4,126,49.5
NE-049,Deuel County,Nebraska,51.2,2.5,128,48.7
NE-051,Dixon County,Nebraska,49.9,2.5,123,47.5
NE-053,Dodge County,Nebraska,52.3,3.3,128,49
NE-055,Douglas County,Nebraska,53.3,3.4,128,49.9
NE-057,Dundy County,Nebraska,53.4,2.8,128,50.6
NE-059,Fillmore County,Nebraska,53.3,2.7,125,50.6
NE-061,Franklin County,Nebraska,53.7,2.7,127,51
NE-063,Frontier County,Nebraska,52.8,2.8,127,50
NE-065,Furnas County,Nebraska,53.5,2.4,125,51.1
NE-067,Gage County,Nebraska,54.2,2.9,128,51.3
NE-069,Garden County,Nebraska,49.9,2.8,127,47.2
NE-071,Garfield County,Nebraska,50.4,3,128,47.3
NE-073,Gosper County,Nebraska,52.7,2.5,126,50.3
NE-075,Grant County,Nebraska,49.1,2.7,127,46.3
NE-077,Greeley County,Nebraska,50.9,2.9,127,48.1
NE-079,Hall County,Nebraska,52.5,2.8,127,49.6
NE-081,Hamilton County,Nebraska,52.5,2.6,125,49.9
NE-083,Harlan County,Nebraska,53.8,2.6,126,51.2
NE-085,Hayes County,Nebraska,52.7,2.8,127,49.9
NE-087,Hitchcock County,Nebraska,53.8,2.8,127,51
NE-089,Holt County,Nebraska,50.1,2.8,128,47.3
NE-091,Hooker County,Nebraska,49.5,2.2,123,47.3
NE-093,Howard County,Nebraska,51.9,2.8,126,49.1
NE-095,Jefferson County,Nebraska,54.7,3.5,129,51.2
NE-097,Johnson County,Nebraska,54,2.7,128,51.3
NE-099,Kearney County,Nebraska,53,3.1,128,49.9
NE-101,Keith County,Nebraska,51.6,2.7,127,48.9
NE-103,Keya Paha County,Nebraska,50.3,3.1,128,47.1
NE-105,Kimball County,Nebraska,48.9,2.8,128,46.1
NE-107,Knox County,Nebraska,50.4,2.7,126,47.7
NE-109,Lancaster County,Nebraska,53.6,3.1,128,50.5
NE-111,Lincoln County,Nebraska,51.5,2.5,127,49
NE-113,Logan County,Nebraska,50.5,2.3,127,48.1
NE-115,Loup County,Nebraska,50.5,2.9,128,47.5
NE-117,McPherson County,Nebraska,50.2,2.4,127,47.8
NE-119,Madison County,Nebraska,50.8,2.6,125,48.1
NE-121,Merrick County,Nebraska,52,2.4,124,49.5
NE-123,Morrill County,Nebraska,50.1,2.8,128,47.3
NE-125,Nance County,Nebraska,51.8,3,128,48.9
NE-127,Nemaha County,Nebraska,54.5,2.8,127,51.7
NE-129,Nuckolls County,Nebraska,53.9,3.1,128,50.9
NE-131,Otoe County,Nebraska,53.8,2.7,127,51.1
NE-133,Pawnee County,Nebraska,54.4,2.7,127,51.7
NE-135,Perkins County,Nebraska,51.8,2.7,127,49.1
NE-137,Phelps County,Nebraska,52.8,2.8,127,50
NE-139,Pierce County,Nebraska,50,2.4,123,47.6
NE-141,Platte County,Nebraska,51.8,3.3,128,48.6
NE-143,Polk County,Nebraska,52.1,2.5,125,49.5
NE-145,Red Willow County,Nebraska,53.8,2.9,127,50.9
NE-147,Richardson County,Nebraska,55.1,3.1,127,52.1
NE-149,Rock County,Nebraska,49.9,2.8,128,47.1
NE-151,Saline County,Nebraska,53.4,2.6,124,50.8
NE-153,Sarpy County,Nebraska,53.6,3.3,129,50.3
NE-155,Saunders County,Nebraska,53,3.3,128,49.8
NE-157,Scotts Bluff County,Nebraska,50.1,2.8,125,47.4
NE-159,Seward County,Nebraska,52.5,2.3,120,50.1
NE-161,Sheridan County,Nebraska,48.4,2.6,120,45.8
NE-163,Sherman County,Nebraska,52,3.4,128,48.6
NE-165,Sioux County,Nebraska,47.7,2.4,122,45.3
NE-167,Stanton County,Nebraska,51.2,3,128,48.2
NE-169,Thayer County,Nebraska,54.2,3.1,129,51.1
NE-171,Thomas County,Nebraska,50.3,2.1,123,48.2
NE-173,Thurston County,Nebraska,50.7,2.8,128,47.8
NE-175,Valley County,Nebraska,51.1,3.2,128,47.9
NE-177,Washington County,Nebraska,52.7,3.3,128,49.4
NE-179,Wayne County,Nebraska,50.1,2.5,124,47.6
NE-181,Webster County,Nebraska,53.9,2.9,128,50.9
NE-183,Wheeler County,Nebraska,50.5,3,128,47.5
NE-185,York County,Nebraska,52.4,2.1,120,50.2
NV-001,Churchill County,Nevada,52.9,2.4,126,50.5
NV-003,Clark County,Nevada,66.3,3.1,127,63.1
NV-005,Douglas County,Nevada,50.2,2.3,125,47.8
NV-007,Elko County,Nevada,46.5,2.1,126,44.4
NV-009,Esmeralda County,Nevada,54.5,3.5,125,51
NV-011,Eureka County,Nevada,47.5,2.3,126,45.2
NV-013,Humboldt County,Nevada,50.4,2.2,125,48.1
NV-015,Lander County,Nevada,49.6,2.6,125,47.1
NV-017,Lincoln County,Nevada,56.7,2.8,125,53.9
NV-019,Lyon County,Nevada,52.6,2.5,125,50
NV-021,Mineral County,Nevada,51.7,2.8,124,48.9
NV-023,Nye County,Nevada,53.6,3.1,125,50.5
NV-027,Pershing County,Nevada,52,2.1,125,49.9
NV-029,Storey County,Nevada,51.9,2.5,124,49.4
NV-031,Washoe County,Nevada,50.4,2.3,124,48.1
NV-033,White Pine County,Nevada,47.5,2.5,125,45
NV-510,Carson City,Nevada,51.2,2.4,125,48.8
NH-001,Belknap County,New Hampshire,46.8,2.9,121,43.9
NH-003,Carroll County,New Hampshire,44.8,2.6,121,42.2
NH-005,Cheshire County,New Hampshire,47.2,3.4,125,43.9
NH-007,Coos County,New Hampshire,41.4,2.9,121,38.5
NH-009,Grafton County,New Hampshire,43.8,3,123,40.8
NH-011,Hillsborough County,New Hampshire,48.4,3.2,123,45.2
NH-013,Merrimack County,New Hampshire,47.3,3.2,124,44.1
NH-015,Rockingham County,New Hampshire,48.9,2.8,121,46.1
NH-017,Strafford County,New Hampshire,47.7,2.6,121,45
NH-019,Sullivan County,New Hampshire,45.6,3.2,122,42.4
NJ-001,Atlantic County,New Jersey,56.2,3.5,125,52.7
NJ-003,Bergen County,New Jersey,54.6,3.6,126,51
NJ-005,Burlington County,New Jersey,56,3.1,122,52.9
NJ-007,Camden County,New Jersey,56.5,3.2,123,53.3
NJ-009,Cape May County,New Jersey,56.6,3.5,125,53.1
NJ-011,Cumberland County,New Jersey,56.5,3.4,125,53.1
NJ-013,Essex County,New Jersey,55.1,3.8,125,51.3
NJ-015,Gloucester County,New Jersey,56.7,3.2,125,53.5
NJ-017,Hudson County,New Jersey,56.5,3.7,125,52.7
NJ-019,Hunterdon County,New Jersey,53.2,3.7,126,49.6
NJ-021,Mercer County,New Jersey,55,3.2,122,51.8
NJ-023,Middlesex County,New Jersey,55.4,3.5,122,51.9
